house_id,address,price,bed,bath,sqft,lot,latitude,longitude,house_link,image_1,image_2,map_link,google_map,created_date
1821,"12302 Mardi Gras Dr, Houston, TX 77014",215000.0,3.0,2.0,1709.0,6469.0,29.9682958,-95.4675215,https://www.realtor.com/realestateandhomes-detail/12302-Mardi-Gras-Dr_Houston_TX_77014_M86357-65286,https://ap.rdcpix.com/26d6e54c206aee093b6d4b21768eca2cl-m3596367595od-w480_h360_x2.jpg,https://ap.rdcpix.com/26d6e54c206aee093b6d4b21768eca2cl-m1180055050od-w480_h360_x2.jpg,https://www.openstreetmap.org/?mlat=29.9682958&mlon=-95.4675215#map=15/29.9682958/-95.4675215,"https://www.google.com/maps/place/12302+Mardi+Gras+Dr,+Houston,+TX+77014",2021-04-11 23:36:27.683000
1822,"19 Rocky Ln, Houston, TX 77040",252000.0,4.0,2.5,2963.0,9400.0,29.8940017,-95.5351741,https://www.realtor.com/realestateandhomes-detail/19-Rocky-Ln_Houston_TX_77040_M81460-57510,https://ap.rdcpix.com/0a4c5bd4c84710fffdb5de87fc855b9bl-m660869348od-w480_h360_x2.jpg,https://ap.rdcpix.com/0a4c5bd4c84710fffdb5de87fc855b9bl-m389943852od-w480_h360_x2.jpg,https://www.openstreetmap.org/?mlat=29.8940017&mlon=-95.5351741#map=15/29.8940017/-95.5351741,"https://www.google.com/maps/place/19+Rocky+Ln,+Houston,+TX+77040",2021-04-11 23:36:27.855000
1823,"3406 Any Way, Houston, TX 77339",214000.0,3.0,2.0,1821.0,6691.0,30.0825522,-95.1951516,https://www.realtor.com/realestateandhomes-detail/3406-Any-Way_Kingwood_TX_77339_M88837-51974,https://ap.rdcpix.com/8472b0a9c52369775e676d312393907cl-m615819690od-w480_h360_x2.jpg,https://ap.rdcpix.com/8472b0a9c52369775e676d312393907cl-m1864721979od-w480_h360_x2.jpg,https://www.openstreetmap.org/?mlat=30.0825522&mlon=-95.1951516#map=15/30.0825522/-95.1951516,"https://www.google.com/maps/place/3406+Any+Way,+Houston,+TX+77339",2021-04-11 23:36:28.176000
1824,"8419 Eramus Landing Ct, Houston, TX 77044",279000.0,4.0,2.0,2280.0,11761.0,29.7202054,-95.2795136,https://www.realtor.com/realestateandhomes-detail/8419-Erasmus-Landing-Ct_Houston_TX_77044_M81652-63502,https://ap.rdcpix.com/2e03f359a49d7ba0710c679eb858d588l-m1204965945od-w480_h360_x2.jpg,https://ap.rdcpix.com/2e03f359a49d7ba0710c679eb858d588l-m350318750od-w480_h360_x2.jpg,https://www.openstreetmap.org/?mlat=29.7202054&mlon=-95.2795136#map=15/29.7202054/-95.2795136,"https://www.google.com/maps/place/8419+Eramus+Landing+Ct,+Houston,+TX+77044",2021-04-11 23:36:28.326000
1825,"16635 Sperry Gardens Dr, Houston, TX 77095",275000.0,3.0,2.0,2222.0,5490.0,29.9168358,-95.6638515,https://www.realtor.com/realestateandhomes-detail/16635-Sperry-Gardens-Dr_Houston_TX_77095_M85819-89430,https://ap.rdcpix.com/aeb95e8ee5cab6e94611916a83a5894cl-m551187011od-w480_h360_x2.jpg,https://ap.rdcpix.com/aeb95e8ee5cab6e94611916a83a5894cl-m311423899od-w480_h360_x2.jpg,https://www.openstreetmap.org/?mlat=29.9168358&mlon=-95.6638515#map=15/29.9168358/-95.6638515,"https://www.google.com/maps/place/16635+Sperry+Gardens+Dr,+Houston,+TX+77095",2021-04-11 23:36:28.472000
1826,"3914 Heathersage Dr, Houston, TX 77084",279900.0,3.0,2.0,1969.0,4783.0,29.8328218,-95.6764264,https://www.realtor.com/realestateandhomes-detail/3914-Heathersage-Dr_Houston_TX_77084_M88304-35171,https://ap.rdcpix.com/e74cfbcaf3f99345d8ee6b292aa08b00l-m4265338250od-w480_h360_x2.jpg,https://ap.rdcpix.com/e74cfbcaf3f99345d8ee6b292aa08b00l-m4200224506od-w480_h360_x2.jpg,https://www.openstreetmap.org/?mlat=29.8328218&mlon=-95.6764264#map=15/29.8328218/-95.6764264,"https://www.google.com/maps/place/3914+Heathersage+Dr,+Houston,+TX+77084",2021-04-11 23:36:28.761000
1827,"13814 Ivymist Ct, Houston, TX 77044",218900.0,3.0,2.0,1460.0,9043.0,29.9198987,-95.1589482,https://www.realtor.com/realestateandhomes-detail/13814-Ivymist-Ct_Houston_TX_77044_M81266-36879,https://ap.rdcpix.com/fcfb5225d6dfd14fe7eb970eb2901b4al-m116112360od-w480_h360_x2.jpg,https://ap.rdcpix.com/fcfb5225d6dfd14fe7eb970eb2901b4al-m4211759884od-w480_h360_x2.jpg,https://www.openstreetmap.org/?mlat=29.9198987&mlon=-95.1589482#map=15/29.9198987/-95.1589482,"https://www.google.com/maps/place/13814+Ivymist+Ct,+Houston,+TX+77044",2021-04-11 23:36:28.906000
1828,"9830 Golden Prairie Ln, Houston, TX 77086",259900.0,4.0,2.5,2546.0,5249.0,29.9136536,-95.4754259,https://www.realtor.com/realestateandhomes-detail/9830-Golden-Prairie-Ln_Houston_TX_77086_M86936-12300,https://ap.rdcpix.com/f5a2cdf14c14c84328ae83647094be53l-m2987912050od-w480_h360_x2.jpg,https://ap.rdcpix.com/f5a2cdf14c14c84328ae83647094be53l-m833477021od-w480_h360_x2.jpg,https://www.openstreetmap.org/?mlat=29.9136536&mlon=-95.4754259#map=15/29.9136536/-95.4754259,"https://www.google.com/maps/place/9830+Golden+Prairie+Ln,+Houston,+TX+77086",2021-04-11 23:36:29.051000
1829,"1802 Dan St, Houston, TX 77020",315000.0,3.0,2.5,1757.0,2623.0,29.7776802,-95.3248358,https://www.realtor.com/realestateandhomes-detail/4501-Hershe-St_Houston_TX_77020_M78428-78249,https://ap.rdcpix.com/7d7ae574802e6656ecd1442a37664e29l-m2912529472od-w480_h360_x2.jpg,https://ap.rdcpix.com/7d7ae574802e6656ecd1442a37664e29l-m1392290495od-w480_h360_x2.jpg,https://www.openstreetmap.org/?mlat=29.7776802&mlon=-95.3248358#map=15/29.7776802/-95.3248358,"https://www.google.com/maps/place/1802+Dan+St,+Houston,+TX+77020",2021-04-11 23:36:29.198000
1830,"12931 Silverbank Run Dr, Humble, TX 77346",275000.0,3.0,2.5,2180.0,9326.0,29.7202054,-95.2795136,https://www.realtor.com/realestateandhomes-detail/12931-Silverbank-Run-Dr_Humble_TX_77346_M95449-38962,https://ap.rdcpix.com/df561364d9645be2a5cce5dbf3132499l-m3982803985od-w480_h360_x2.jpg,https://ap.rdcpix.com/df561364d9645be2a5cce5dbf3132499l-m1904331346od-w480_h360_x2.jpg,https://www.openstreetmap.org/?mlat=29.7202054&mlon=-95.2795136#map=15/29.7202054/-95.2795136,"https://www.google.com/maps/place/12931+Silverbank+Run+Dr,+Humble,+TX+77346",2021-04-11 23:36:29.344000
1831,"7914 Ensemble Dr, Houston, TX 77040",349900.0,3.0,2.0,2443.0,8398.0,29.8887795,-95.5334726,https://www.realtor.com/realestateandhomes-detail/7914-Ensemble-Dr_Houston_TX_77040_M78011-41616,https://ap.rdcpix.com/377664a0cab45a8cb899082d0f387b22l-m52152528od-w480_h360_x2.jpg,https://ap.rdcpix.com/377664a0cab45a8cb899082d0f387b22l-m4061750313od-w480_h360_x2.jpg,https://www.openstreetmap.org/?mlat=29.8887795&mlon=-95.5334726#map=15/29.8887795/-95.5334726,"https://www.google.com/maps/place/7914+Ensemble+Dr,+Houston,+TX+77040",2021-04-11 23:36:29.633000
1832,"9739 Railton St, Houston, TX 77080",310000.0,4.0,2.0,1932.0,10019.0,29.828099,-95.5336161,https://www.realtor.com/realestateandhomes-detail/9739-Railton-St_Houston_TX_77080_M82028-07672,https://ap.rdcpix.com/8ddb42c7c1554c335e71ce4e43825178l-m3300180220od-w480_h360_x2.jpg,https://ap.rdcpix.com/8ddb42c7c1554c335e71ce4e43825178l-m1620196180od-w480_h360_x2.jpg,https://www.openstreetmap.org/?mlat=29.828099&mlon=-95.5336161#map=15/29.828099/-95.5336161,"https://www.google.com/maps/place/9739+Railton+St,+Houston,+TX+77080",2021-04-11 23:36:29.780000
1833,"12743 Westella Dr, Houston, TX 77077",259000.0,3.0,2.0,1646.0,7928.0,29.7475848,-95.6101686,https://www.realtor.com/realestateandhomes-detail/12743-Westella-Dr_Houston_TX_77077_M72241-18117,https://ap.rdcpix.com/f47dd58f65fb8f88ba10173c49e65952l-m2888159256od-w480_h360_x2.jpg,https://ap.rdcpix.com/f47dd58f65fb8f88ba10173c49e65952l-m145998039od-w480_h360_x2.jpg,https://www.openstreetmap.org/?mlat=29.7475848&mlon=-95.6101686#map=15/29.7475848/-95.6101686,"https://www.google.com/maps/place/12743+Westella+Dr,+Houston,+TX+77077",2021-04-11 23:36:29.924000
